S.no,Brand,Model,Specifications / Review link,Price ,Comment,Category,Type,Links,Region,Polarity,Agreement,Subjectivity,Confidence
1,Triumph,Speed Triple 1200 RS,https://www.triumphmotorcycles.com/motorcycles/roadsters/speed-triple-1200/specification,16000 eur,"I found for the road it just was missing something that sense of occasion.
My standard street bike I ride daily is the MT10SP so coming from that I was a little disappointed.
Agree for track amazing but at the end of the day it’s a road bike so needs to be more road focused like the earlier Speed Twins were.",Comparision,,,,N,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,lighter and more torque than a V4 Street fighter,17.95 L,"I have no interest in change my 2018RS for this one,  it’s every thing I need and more",Comparision,,,,N,AGREEMENT,SUBJECTIVE,92
,Triumph,Speed Triple 1200 RS,https://www.youtube.com/watch?v=YY2bHfe1zJQ,,Was thinking of buying a 2021 but hardly ever manage to get to the track. Now assessing 2020 options.,Comparision,,,,NONE,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,Shame that Triumph have made the new Speedy a little too track orientated with that setup. I have just watched a full review of the new 1100 Tuono Factory and the guy could not stop gushing over it. He actually went as far as to say it was the best bike he has ever tested. And it looks gorgeous.,Comparision,,,,P,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,"Very tempted to get rid of my MT10SP for this bike , decent fuel consumption more power and does not sound like a diesel tractor unlike my Yam.Far superior in so many ways good job Triumph.",Comparision,,,,P,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,I just bought a 2019 speed rs. You don't need anymore power than that for road use. Plus I like the looks better and how it feels bigger than a street triple.,Comparision,,,,P,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,old bike is brilliant,Comparision,,,,P+,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"Brilliant Bike but I doubt you can use more than a third of the performance except on a club track day(s). I'd opt for a BMW R9T, sensible power with shaft drive",Comparision,,,,NEU,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,"I think the 17+ Aprilia Tuono is a lot more bike for your money in this bracket-bought mine for 11k with under 10,000 miles, an exhaust and zero damage. 175+ hp, incredibly comfortable, more stylish (to me), proven powertrain, amazing sound, TFT dash, modern electronics…its the best bike I’ve ever owned.",Comparision,,,,NEU,DISAGREEMENT,SUBJECTIVE,92
,Triumph,Speed Triple 1200 RS,,,"I would recommend you try a 2022 BMW S1000R SPORT. It has everything which you advise the Triumph RS SPEED TRIPLE HAS but delivers it better it has a 6.5 TFT screen which is far easier to use than the Triumph and has more information. The bike is set up like the Triumph for a sportier ride as you are encouraged to have a slight lean forward towards the flat bars whilst offering a slightly more open riding triangle (seat you move on back to front and lean off) which alongside the cruise control, heated grips, up/ down shifter, hill hold  assist, self cancelling indicators and 80% of 111 Nm/ 86 ft/lb torque coming in from 3,000 makes (165 bhp at 11,000 revs) the bike suitable for commuting/ city riding, longer journeys and as you would put it canyon carving (I live in the UK). I have mine in racing red with red stripe on the wheels and choose to add  the Tyre Pressure Monitoring System all backed up by a 3 yr Warranty from BMW and an excellent dealer network. I am constantly attracting positive comments from passersby which is nice to hear others appreciate your bike but even if that did not happen the smile I get before, during and after riding my bike, the pops and crackles that happen when in Dynamic Pro mode (there are 4 riding modes Pro being customisable to your personal needs) just makes me giggle. I am very pleased I got mine and I believe you and many others who enjoy motorcycling will likewise enjoy one as well. Give it a try, I look forward to your opinion on a BMW S1000R Sport.",Comparision,,,,P,DISAGREEMENT,SUBJECTIVE,86
